iter	Passed	Remaining
0	172	172677
1	180	90063
2	188	62527
3	192	47893
4	196	39059
5	199	33110
6	203	28861
7	206	25621
8	209	23082
9	212	21022
10	215	19348
11	218	17955
12	222	16869
13	226	15922
14	229	15050
15	233	14332
16	236	13677
17	240	13107
18	243	12573
19	246	12096
20	249	11635
21	252	11238
22	255	10868
23	258	10522
24	262	10231
25	265	9940
26	269	9700
27	272	9457
28	274	9207
29	278	8989
30	282	8818
31	285	8628
32	288	8449
33	291	8273
34	294	8111
35	296	7950
36	299	7798
37	301	7644
38	304	7496
39	306	7356
40	308	7222
41	311	7096
42	313	6977
43	315	6864
44	318	6755
45	320	6649
46	322	6547
47	325	6449
48	327	6355
49	329	6266550	332	6180551	334	6102552	337	6030553	340	5963554	342	5891555	345	5827556	348	5767557	351	5704
58	353	5644559	356	5585660	357	5507661	360	5459662	363	5404663	365	5352664	368	5302665	371	5251666	373	5204667	378	5183
68	381	5143
69	385	5115
70	388	5085
71	391	5044
72	394	5013
73	397	4971
74	400	4939
75	403	4907
76	410	4922
77	415	4916
78	419	4891
79	424	4880
80	426	4836881	430	4818882	434	4799883	437	4775884	441	4749885	444	4724886	447	4695887	450	4672888	455	4658889	460	4659990	464	4637991	468	4623992	471	4600993	476	4590994	481	4589995	485	4569996	487	4539997	491	4523
98	495	4512
99	499	4494
100	503	4483
101	507	4467
102	511	4455
103	514	4436
104	521	4448
105	526	4437
106	531	4437
107	536	4428
108	539	4410
109	544	4401
110	548	4394
111	553	4391
112	560	4396
113	563	4382
114	569	4383
115	574	4377
116	578	4366
117	583	4360
118	588	4357
119	592	4345
120	595	4323
121	598	4305
122	601	4285
123	603	4266
124	606	4248
125	609	4229
126	613	4216
127	616	4197
128	621	4196
129	625	4188
130	629	4178
131	634	4174
132	640	4172
133	643	4156
134	647	4146
135	650	4131
136	653	4117
137	657	4104
138	660	4093
139	663	4078
140	667	4064
141	670	4050
142	674	4041
143	677	4025
144	680	4010
145	683	3997
146	686	3983
147	689	3969
148	691	3952
149	695	3943
150	700	3936
151	703	3922
152	705	3907
153	708	3893
154	711	3879
155	714	3867
156	718	3857
157	721	3846
158	724	3834
159	728	3822
160	730	3808
161	733	3796
162	737	3784
163	740	3773
164	743	3761
165	746	3748
166	749	3737
167	751	3722
168	754	3712
169	757	3700
170	760	3686
171	762	3672
172	766	3662
173	769	3651
174	771	3639
175	775	3631
